path,emotion,source
sad\Actor_03_03-01-04-02-01-02-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-02-01-02-03.wav
sad\Actor_03_03-01-04-02-02-01-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-02-02-01-03.wav
sad\Actor_03_03-01-04-02-02-02-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-02-02-02-03.wav
angry\Actor_03_03-01-05-01-01-01-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-01-01-01-03.wav
angry\Actor_03_03-01-05-01-01-02-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-01-01-02-03.wav
angry\Actor_03_03-01-05-01-02-01-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-01-02-01-03.wav
angry\Actor_03_03-01-05-01-02-02-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-01-02-02-03.wav
angry\Actor_03_03-01-05-02-01-01-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-02-01-01-03.wav
angry\Actor_03_03-01-05-02-01-02-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-02-01-02-03.wav
angry\Actor_03_03-01-05-02-02-01-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-02-02-01-03.wav
angry\Actor_03_03-01-05-02-02-02-03.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-05-02-02-02-03.wav
fearful\Actor_03_03-01-06-01-01-01-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-01-01-01-03.wav
fearful\Actor_03_03-01-06-01-01-02-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-01-01-02-03.wav
fearful\Actor_03_03-01-06-01-02-01-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-01-02-01-03.wav
fearful\Actor_03_03-01-06-01-02-02-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-01-02-02-03.wav
fearful\Actor_03_03-01-06-02-01-01-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-02-01-01-03.wav
fearful\Actor_03_03-01-06-02-01-02-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-02-01-02-03.wav
fearful\Actor_03_03-01-06-02-02-01-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-02-02-01-03.wav
fearful\Actor_03_03-01-06-02-02-02-03.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-06-02-02-02-03.wav
surprised\Actor_03_03-01-08-01-01-01-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-01-01-01-03.wav
surprised\Actor_03_03-01-08-01-01-02-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-01-01-02-03.wav
surprised\Actor_03_03-01-08-01-02-01-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-01-02-01-03.wav
surprised\Actor_03_03-01-08-01-02-02-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-01-02-02-03.wav
surprised\Actor_03_03-01-08-02-01-01-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-02-01-01-03.wav
surprised\Actor_03_03-01-08-02-01-02-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-02-01-02-03.wav
surprised\Actor_03_03-01-08-02-02-01-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-02-02-01-03.wav
surprised\Actor_03_03-01-08-02-02-02-03.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-08-02-02-02-03.wav
neutral\Actor_04_03-01-01-01-01-01-04.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-01-01-01-01-04.wav
neutral\Actor_04_03-01-01-01-01-02-04.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-01-01-01-02-04.wav
neutral\Actor_04_03-01-01-01-02-01-04.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-01-01-02-01-04.wav
neutral\Actor_04_03-01-01-01-02-02-04.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-01-01-02-02-04.wav
happy\Actor_04_03-01-03-01-01-01-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-01-01-01-04.wav
happy\Actor_04_03-01-03-01-01-02-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-01-01-02-04.wav
happy\Actor_04_03-01-03-01-02-01-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-01-02-01-04.wav
happy\Actor_04_03-01-03-01-02-02-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-01-02-02-04.wav
happy\Actor_04_03-01-03-02-01-01-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-02-01-01-04.wav
happy\Actor_04_03-01-03-02-01-02-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-02-01-02-04.wav
happy\Actor_04_03-01-03-02-02-01-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-02-02-01-04.wav
happy\Actor_04_03-01-03-02-02-02-04.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-03-02-02-02-04.wav
sad\Actor_04_03-01-04-01-01-01-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-01-01-01-04.wav
sad\Actor_04_03-01-04-01-01-02-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-01-01-02-04.wav
sad\Actor_04_03-01-04-01-02-01-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-01-02-01-04.wav
sad\Actor_04_03-01-04-01-02-02-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-01-02-02-04.wav
sad\Actor_04_03-01-04-02-01-01-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-02-01-01-04.wav
sad\Actor_04_03-01-04-02-01-02-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-02-01-02-04.wav
sad\Actor_04_03-01-04-02-02-01-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-02-02-01-04.wav
sad\Actor_04_03-01-04-02-02-02-04.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-04-02-02-02-04.wav
angry\Actor_04_03-01-05-01-01-01-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-01-01-01-04.wav
angry\Actor_04_03-01-05-01-01-02-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-01-01-02-04.wav
angry\Actor_04_03-01-05-01-02-01-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-01-02-01-04.wav
angry\Actor_04_03-01-05-01-02-02-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-01-02-02-04.wav
angry\Actor_04_03-01-05-02-01-01-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-02-01-01-04.wav
angry\Actor_04_03-01-05-02-01-02-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-02-01-02-04.wav
angry\Actor_04_03-01-05-02-02-01-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-02-02-01-04.wav
angry\Actor_04_03-01-05-02-02-02-04.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-05-02-02-02-04.wav
fearful\Actor_04_03-01-06-01-01-01-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-01-01-01-04.wav
fearful\Actor_04_03-01-06-01-01-02-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-01-01-02-04.wav
fearful\Actor_04_03-01-06-01-02-01-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-01-02-01-04.wav
fearful\Actor_04_03-01-06-01-02-02-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-01-02-02-04.wav
fearful\Actor_04_03-01-06-02-01-01-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-02-01-01-04.wav
fearful\Actor_04_03-01-06-02-01-02-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-02-01-02-04.wav
fearful\Actor_04_03-01-06-02-02-01-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-02-02-01-04.wav
fearful\Actor_04_03-01-06-02-02-02-04.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-06-02-02-02-04.wav
surprised\Actor_04_03-01-08-01-01-01-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-01-01-01-04.wav
surprised\Actor_04_03-01-08-01-01-02-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-01-01-02-04.wav
surprised\Actor_04_03-01-08-01-02-01-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-01-02-01-04.wav
surprised\Actor_04_03-01-08-01-02-02-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-01-02-02-04.wav
surprised\Actor_04_03-01-08-02-01-01-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-02-01-01-04.wav
surprised\Actor_04_03-01-08-02-01-02-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-02-01-02-04.wav
surprised\Actor_04_03-01-08-02-02-01-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-02-02-01-04.wav
surprised\Actor_04_03-01-08-02-02-02-04.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_04\03-01-08-02-02-02-04.wav
neutral\Actor_05_03-01-01-01-01-01-05.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-01-01-01-01-05.wav
neutral\Actor_05_03-01-01-01-01-02-05.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-01-01-01-02-05.wav
neutral\Actor_05_03-01-01-01-02-01-05.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-01-01-02-01-05.wav
neutral\Actor_05_03-01-01-01-02-02-05.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-01-01-02-02-05.wav
happy\Actor_05_03-01-03-01-01-01-05.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-03-01-01-01-05.wav
happy\Actor_05_03-01-03-01-01-02-05.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-03-01-01-02-05.wav
happy\Actor_05_03-01-03-01-02-01-05.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-03-01-02-01-05.wav
happy\Actor_05_03-01-03-01-02-02-05.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_05\03-01-03-01-02-02-05.wav
